AGE (yrs),dD,est. d18O
57905,-462.7,-58.9426751592
57981,-460.7,-58.6878980892
58057,-460.5,-58.6624203822
58133,-462.2,-58.8789808917
58211,-462.6,-58.9299363057
58286,-458.4,-58.3949044586
58360,-458.1,-58.3566878981
58436,-462.4,-58.9044585987
58514,-464.1,-59.1210191083
58594,-466.8,-59.4649681529
58676,-468,-59.6178343949
58759,-469.2,-59.7707006369
58842,-468.4,-59.6687898089
58925,-467.9,-59.6050955414
59008,-469.1,-59.7579617834
59093,-471.3,-60.0382165605
59178,-470.7,-59.9617834395
59262,-468,-59.6178343949
59345,-467.9,-59.6050955414
59428,-469,-59.7452229299
59511,-468,-59.6178343949
59593,-466,-59.3630573248
59674,-466,-59.3630573248
59755,-466,-59.3630573248
59836,-467.7,-59.5796178344
59921,-471.8,-60.101910828
60007,-472,-60.127388535
60093,-469.7,-59.8343949045
60177,-469.5,-59.8089171975
60262,-470,-59.872611465
60348,-471.5,-60.0636942675
60433,-470.6,-59.949044586
60519,-470.5,-59.9363057325
60605,-472,-60.127388535
60692,-472.3,-60.1656050955
60779,-472.5,-60.1910828025
60869,-476.7,-60.7261146497
60961,-477.7,-60.8535031847
61052,-474.7,-60.4713375796
61141,-473.7,-60.3439490446
61229,-472,-60.127388535
61317,-474.1,-60.3949044586
61406,-474,-60.3821656051
61496,-474.8,-60.4840764331
61586,-476.4,-60.6878980892
61677,-474,-60.3821656051
61765,-471.8,-60.101910828
61852,-472.4,-60.178343949
61941,-474.8,-60.4840764331
62031,-475.4,-60.5605095541
62121,-475.1,-60.5222929936
62213,-477.5,-60.8280254777
62307,-479.2,-61.0445859873
62401,-478.7,-60.9808917197
62497,-481.4,-61.3248407643
62594,-481,-61.2738853503
62689,-478.9,-61.0063694268
62783,-478.1,-60.9044585987
62877,-477.9,-60.8789808917
62970,-477.9,-60.8789808917
63064,-477.9,-60.8789808917
63157,-477.9,-60.8789808917
63249,-475.5,-60.5732484076
63338,-471.4,-60.050955414
63424,-470.4,-59.923566879
63512,-473.9,-60.3694267516
63600,-472.8,-60.2292993631
63688,-471.3,-60.0382165605
63776,-473.8,-60.3566878981
63865,-473.8,-60.3566878981
63954,-473.6,-60.3312101911
64043,-474.5,-60.4458598726
64134,-476.5,-60.7006369427
64228,-479.1,-61.0318471338
64322,-478.2,-60.9171974522
64416,-477.3,-60.8025477707
64510,-480.4,-61.1974522293
64605,-477.5,-60.8280254777
64698,-477.9,-60.8789808917
64793,-480.8,-61.2484076433
64890,-480.5,-61.2101910828
64987,-482,-61.4012738854
65085,-480.9,-61.2611464968
65182,-480.7,-61.2356687898
65278,-479.6,-61.0955414013
65371,-476.5,-60.7006369427
65464,-478,-60.8917197452
65559,-479.3,-61.0573248408
65655,-482,-61.4012738854
65756,-486.2,-61.9363057325
65855,-479.6,-61.0955414013
65949,-477.5,-60.8280254777
66045,-482.4,-61.4522292994
66144,-483,-61.5286624204
66243,-481.5,-61.3375796178
66338,-477.1,-60.7770700637
66429,-474.4,-60.4331210191
66520,-475.6,-60.5859872611
66613,-479.6,-61.0955414013
66708,-479.8,-61.1210191083
66803,-478.5,-60.9554140127
66898,-479.7,-61.1082802548
66992,-478,-60.8917197452
67085,-476.7,-60.7261146497
67178,-478.2,-60.9171974522
67272,-479.2,-61.0445859873
67367,-478.6,-60.9681528662
67462,-480.3,-61.1847133758
67557,-479.8,-61.1210191083
67653,-480.7,-61.2356687898
67750,-482.5,-61.4649681529
67848,-481.9,-61.3885350318
67945,-481,-61.2738853503
68041,-479,-61.0191082803
68136,-480.5,-61.2101910828
68233,-483.4,-61.5796178344
68330,-479.7,-61.1082802548
68424,-478.5,-60.9554140127
68520,-481.9,-61.3885350318
68617,-481.5,-61.3375796178
68715,-483.1,-61.5414012739
68811,-479.5,-61.0828025478
68902,-472.1,-60.1401273885
68987,-468.8,-59.7197452229
69071,-470.7,-59.9617834395
69155,-467.7,-59.5796178344
69238,-468.5,-59.6815286624
69324,-474.2,-60.4076433121
69413,-475.6,-60.5859872611
69506,-479.4,-61.0700636943
69599,-478.1,-60.9044585987
69691,-476,-60.6369426752
69780,-473.5,-60.3184713376
69869,-474.7,-60.4713375796
69959,-478.1,-60.9044585987
70054,-481.3,-61.3121019108
70149,-480.6,-61.2229299363
70243,-476.6,-60.7133757962
70334,-476.8,-60.7388535032
70425,-477.9,-60.8789808917
70515,-473.5,-60.3184713376
70600,-468.4,-59.6687898089
70683,-468.4,-59.6687898089
70766,-468.4,-59.6687898089
70848,-468.4,-59.6687898089
70931,-468.4,-59.6687898089
71013,-468.7,-59.7070063694
71096,-469,-59.7452229299
71180,-470.1,-59.8853503185
71264,-470.5,-59.9363057325
71347,-467.2,-59.5159235669
71427,-465.5,-59.2993630573
71506,-462.2,-58.8789808917
71584,-466.4,-59.4140127389
71664,-465.8,-59.3375796178
71743,-463.5,-59.0445859873
71822,-466.8,-59.4649681529
71905,-471.5,-60.0636942675
71989,-468,-59.6178343949
72070,-467,-59.4904458599
72152,-468.9,-59.7324840764
72235,-469.6,-59.821656051
72318,-469.7,-59.8343949045
72403,-472.5,-60.1910828025
72489,-474,-60.3821656051
72578,-476.2,-60.6624203822
72666,-473.2,-60.2802547771
72753,-474.7,-60.4713375796
72840,-470.7,-59.9617834395
72922,-466.6,-59.4394904459
73003,-469.5,-59.8089171975
73087,-470.9,-59.9872611465
73172,-472.8,-60.2292993631
73258,-473.6,-60.3312101911
73347,-477.6,-60.8407643312
73440,-481.9,-61.3885350318
73533,-476.8,-60.7388535032
73620,-471.6,-60.076433121
73706,-474.7,-60.4713375796
73795,-477.8,-60.8662420382
73885,-476.2,-60.6624203822
73973,-473.8,-60.3566878981
74060,-474.5,-60.4458598726
74150,-478.2,-60.9171974522
74238,-473,-60.2547770701
74322,-470.6,-59.949044586
74405,-468.9,-59.7324840764
74484,-463.6,-59.0573248408
74565,-471.4,-60.050955414
74651,-476.8,-60.7388535032
74738,-470.5,-59.9363057325
74821,-470.4,-59.923566879
74903,-469.4,-59.7961783439
74985,-469,-59.7452229299
75066,-467.8,-59.5923566879
75147,-469.7,-59.8343949045
75229,-467.9,-59.6050955414
75308,-466.1,-59.3757961783
75388,-467.3,-59.5286624204
75468,-467.9,-59.6050955414
75547,-466.2,-59.3885350318
75625,-463.4,-59.0318471338
75701,-462.6,-58.9299363057
75776,-461.8,-58.8280254777
75850,-461.6,-58.8025477707
75928,-468,-59.6178343949
76007,-465.5,-59.2993630573
76084,-464.5,-59.1719745223
76162,-466.9,-59.4777070064
76239,-461.7,-58.8152866242
76313,-459.8,-58.5732484076
76388,-464.3,-59.1464968153
76465,-466,-59.3630573248
76543,-466.5,-59.4267515924
76622,-466.9,-59.4777070064
76700,-465.1,-59.2484076433
76777,-463.6,-59.0573248408
76854,-466.1,-59.3757961783
76933,-468.6,-59.6942675159
77014,-468.4,-59.6687898089
77094,-468.1,-59.6305732484
77175,-471,-60
77259,-473.6,-60.3312101911
77345,-475.9,-60.6242038217
77433,-478.5,-60.9554140127
77521,-475.2,-60.5350318471
77606,-470.5,-59.9363057325
77687,-470.2,-59.898089172
77769,-470.5,-59.9363057325
77853,-474.4,-60.4331210191
77938,-474.8,-60.4840764331
78025,-475.4,-60.5605095541
78113,-479.4,-61.0700636943
78200,-472,-60.127388535
78277,-458.5,-58.4076433121
78353,-469.9,-59.8598726115
78437,-476.4,-60.6878980892
78522,-472.4,-60.178343949
78606,-473.6,-60.3312101911
78690,-472,-60.127388535
78772,-470.3,-59.9108280255
78854,-470.9,-59.9872611465
78937,-473.1,-60.2675159236
79020,-471.1,-60.0127388535
79098,-464.4,-59.1592356688
79174,-464.4,-59.1592356688
79251,-465.6,-59.3121019108
79327,-464.2,-59.1337579618
79402,-461.6,-58.8025477707
79478,-468.2,-59.6433121019
79557,-468.6,-59.6942675159
79636,-467,-59.4904458599
79714,-465.2,-59.2611464968
79791,-467.3,-59.5286624204
79870,-468.1,-59.6305732484
79947,-465.3,-59.2738853503
80020,-457.5,-58.2802547771
80093,-464.8,-59.2101910828
80173,-473.9,-60.3694267516
80257,-472.3,-60.1656050955
80341,-474,-60.3821656051
80422,-468.1,-59.6305732484
80498,-462.3,-58.8917197452
80572,-461.1,-58.7388535032
80645,-462,-58.8535031847
80719,-464.1,-59.1210191083
80794,-464.1,-59.1210191083
80869,-462.6,-58.9299363057
80943,-463.6,-59.0573248408
81019,-465.2,-59.2611464968
81096,-466.8,-59.4649681529
81170,-459.8,-58.5732484076
81240,-455.3,-58
81309,-458.8,-58.4458598726
81381,-462.3,-58.8917197452
81453,-458.9,-58.4585987261
81523,-455.5,-58.025477707
81592,-458.3,-58.3821656051
81662,-458.3,-58.3821656051
81732,-458.4,-58.3949044586
81802,-458,-58.3439490446
81872,-457.9,-58.3312101911
81942,-458.5,-58.4076433121
82012,-456.4,-58.1401273885
82080,-456.9,-58.2038216561
82148,-453.6,-57.7834394904
82213,-450.7,-57.4140127389
82280,-457.4,-58.2675159236
82352,-464.6,-59.1847133758
82427,-463,-58.9808917197
82500,-461.3,-58.7643312102
82573,-462.6,-58.9299363057
82647,-463.9,-59.0955414013
82721,-461,-58.7261146497
82792,-458,-58.3439490446
82860,-453.9,-57.821656051
82925,-449.8,-57.2993630573
82990,-453.1,-57.7197452229
83055,-450.7,-57.4140127389
83121,-456,-58.0891719745
83190,-458.7,-58.4331210191
83261,-458.8,-58.4458598726
83331,-458.8,-58.4458598726
83401,-457.3,-58.2547770701
83470,-456.8,-58.1910828025
83538,-454.7,-57.923566879
83608,-461.4,-58.7770700637
83679,-457.3,-58.2547770701
83747,-454.4,-57.8853503185
83814,-454.2,-57.8598726115
83881,-456.2,-58.1146496815
83952,-460.9,-58.7133757962
84025,-462.8,-58.9554140127
84097,-460.5,-58.6624203822
84168,-458.3,-58.3821656051
84238,-458.3,-58.3821656051
84308,-458.3,-58.3821656051
84378,-458.8,-58.4458598726
84448,-457.3,-58.2547770701
84515,-449.8,-57.2993630573
84576,-444.4,-56.6114649682
84638,-450.5,-57.3885350318
84703,-452.7,-57.6687898089
84770,-455.1,-57.974522293
84838,-455.4,-58.0127388535
84905,-454.2,-57.8598726115
84971,-451.9,-57.5668789809
85036,-450.2,-57.3503184713
85100,-449.2,-57.2229299363
85164,-451.8,-57.5541401274
85229,-453,-57.7070063694
85296,-453.6,-57.7834394904
85361,-450.3,-57.3630573248
85425,-450,-57.3248407643
85489,-448.9,-57.1847133758
85551,-448.1,-57.0828025478
85615,-450.3,-57.3630573248
85680,-452,-57.5796178344
85746,-455.2,-57.9872611465
85814,-454.5,-57.898089172
85881,-455.1,-57.974522293
85949,-455,-57.9617834395
86016,-454.2,-57.8598726115
86083,-454.2,-57.8598726115
86150,-454.2,-57.8598726115
86218,-455.7,-58.050955414
86286,-456.5,-58.152866242
86355,-455.8,-58.0636942675
86423,-456.6,-58.1656050955
86492,-457.4,-58.2675159236
86562,-460,-58.5987261146
86635,-463.2,-59.0063694268
86707,-457.9,-58.3312101911
86777,-460.1,-58.6114649682
86848,-458.8,-58.4458598726
86919,-458.7,-58.4331210191
86989,-459,-58.4713375796
87060,-460.4,-58.6496815287
87132,-460.9,-58.7133757962
87203,-460.3,-58.6369426752
87274,-457.1,-58.2292993631
87342,-454.7,-57.923566879
87410,-458.9,-58.4585987261
87482,-463,-58.9808917197
87554,-460.1,-58.6114649682
87624,-456.8,-58.1910828025
87695,-461.3,-58.7643312102
87766,-459.7,-58.5605095541
87837,-458.8,-58.4458598726
87907,-459.3,-58.5095541401
87978,-460.7,-58.6878980892
88049,-460.7,-58.6878980892
88122,-462.9,-58.9681528662
88196,-465,-59.2356687898
88271,-465,-59.2356687898
88345,-465,-59.2356687898
88420,-465,-59.2356687898
88495,-465,-59.2356687898
88570,-464.8,-59.2101910828
88644,-464.6,-59.1847133758
88719,-464.9,-59.2229299363
88793,-464.1,-59.1210191083
88866,-463.7,-59.0700636943
88938,-459.1,-58.4840764331
89008,-459.2,-58.4968152866
89077,-459.3,-58.5095541401
89148,-462.6,-58.9299363057
89221,-464.2,-59.1337579618
89296,-466.8,-59.4649681529
89373,-469.4,-59.7961783439
89450,-466.2,-59.3885350318
89523,-463,-58.9808917197
89597,-465.5,-59.2993630573
89672,-467.5,-59.5541401274
89748,-467.5,-59.5541401274
89825,-467.5,-59.5541401274
89900,-465.4,-59.2866242038
89973,-463.2,-59.0063694268
90048,-468.8,-59.7197452229
90128,-475.3,-60.5477707006
90209,-470.9,-59.9872611465
90286,-467.3,-59.5286624204
90362,-468.8,-59.7197452229
90440,-469.7,-59.8343949045
90517,-470,-59.872611465
90594,-466.5,-59.4267515924
90668,-466.1,-59.3757961783
90740,-460.4,-58.6496815287
90812,-465.5,-59.2993630573
90885,-464.3,-59.1464968153
90959,-465.7,-59.3248407643
91033,-465.6,-59.3121019108
91107,-466.8,-59.4649681529
91182,-467,-59.4904458599
91258,-470.1,-59.8853503185
91336,-470.7,-59.9617834395
91411,-464.2,-59.1337579618
91480,-457,-58.2165605096
91547,-457.5,-58.2802547771
91615,-460.2,-58.6242038217
91685,-460.7,-58.6878980892
91753,-459.1,-58.4840764331
91823,-463.7,-59.0700636943
91896,-465.2,-59.2611464968
91968,-463.6,-59.0573248408
92040,-465.1,-59.2484076433
92114,-466.7,-59.4522292994
92187,-464.4,-59.1592356688
92259,-463.4,-59.0318471338
92329,-460.1,-58.6114649682
92398,-460.9,-58.7133757962
92470,-465.8,-59.3375796178
92542,-464.8,-59.2101910828
92617,-468.9,-59.7324840764
92690,-463.7,-59.0700636943
92759,-456.1,-58.101910828
92827,-461.9,-58.8407643312
92897,-463,-58.9808917197
92967,-460.6,-58.6751592357
93037,-461.1,-58.7388535032
93107,-464,-59.1082802548
93180,-467.2,-59.5159235669
93254,-464.5,-59.1719745223
93325,-463.2,-59.0063694268
93397,-464.5,-59.1719745223
93468,-463,-58.9808917197
93540,-465.9,-59.3503184713
93615,-470.1,-59.8853503185
93690,-464.5,-59.1719745223
93761,-462,-58.8535031847
93829,-457.1,-58.2292993631
93895,-456,-58.0891719745
93961,-457.1,-58.2292993631
94026,-455.9,-58.076433121
94093,-459.7,-58.5605095541
94164,-466.3,-59.4012738854
94238,-466.3,-59.4012738854
94311,-465.5,-59.2993630573
94382,-461.2,-58.7515923567
94450,-458.4,-58.3949044586
94517,-457.5,-58.2802547771
94585,-461.4,-58.7770700637
94655,-462.6,-58.9299363057
94725,-463.2,-59.0063694268
94795,-460.8,-58.7006369427
94864,-459.7,-58.5605095541
94932,-459.3,-58.5095541401
95000,-460.3,-58.6369426752
95070,-462.9,-58.9681528662
95141,-465.2,-59.2611464968
95214,-466,-59.3630573248
95284,-458.4,-58.3949044586
95351,-456.9,-58.2038216561
95418,-459.9,-58.5859872611
95487,-460.6,-58.6751592357
95556,-460.6,-58.6751592357
95624,-460.6,-58.6751592357
95693,-459.7,-58.5605095541
95761,-458.8,-58.4458598726
95828,-458.8,-58.4458598726
95895,-458.8,-58.4458598726
95964,-460.6,-58.6751592357
96033,-462.4,-58.9044585987
96103,-460.3,-58.6369426752
96170,-457.6,-58.2929936306
96237,-457.6,-58.2929936306
96304,-459.4,-58.5222929936
96372,-459.8,-58.5732484076
96441,-462,-58.8535031847
96511,-462.7,-58.9426751592
96582,-462.3,-58.8917197452
96652,-462.7,-58.9426751592
96722,-459.9,-58.5859872611
96791,-461.8,-58.8280254777
96861,-463.7,-59.0700636943
96933,-463.7,-59.0700636943
97004,-463.7,-59.0700636943
97075,-463.1,-58.9936305732
97148,-468.1,-59.6305732484
97222,-466,-59.3630573248
97294,-462.7,-58.9426751592
97365,-464,-59.1082802548
97439,-469.4,-59.7961783439
97514,-466.5,-59.4267515924
97588,-465.9,-59.3503184713
97659,-461.3,-58.7643312102
97727,-456.7,-58.178343949
97794,-461.2,-58.7515923567
97864,-462,-58.8535031847
97936,-465.5,-59.2993630573
98010,-468.9,-59.7324840764
98085,-465.8,-59.3375796178
98157,-462.8,-58.9554140127
98228,-463.6,-59.0573248408
98300,-465.6,-59.3121019108
98371,-460.1,-58.6114649682
98439,-457.5,-58.2802547771
98505,-457.5,-58.2802547771
98572,-457.5,-58.2802547771
98640,-461.2,-58.7515923567
98712,-465,-59.2356687898
98783,-462.8,-58.9554140127
98855,-463.8,-59.0828025478
98925,-460.4,-58.6496815287
98994,-459.2,-58.4968152866
99063,-461.4,-58.7770700637
99134,-463.9,-59.0955414013
99205,-462.5,-58.9171974522
99275,-461.1,-58.7388535032
99345,-460.8,-58.7006369427
99414,-460.5,-58.6624203822
99484,-460.4,-58.6496815287
99553,-460,-58.5987261146
99622,-459.8,-58.5732484076
99691,-460.8,-58.7006369427
99760,-459.6,-58.5477707006
99828,-457.2,-58.2420382166
99894,-457.2,-58.2420382166
99961,-457.2,-58.2420382166
100028,-456.9,-58.2038216561
100095,-458.1,-58.3566878981
100163,-459.2,-58.4968152866
100232,-460.7,-58.6878980892
100301,-457.7,-58.3057324841
100367,-454.8,-57.9363057325
100432,-454.8,-57.9363057325
100498,-456.5,-58.152866242
100565,-458.2,-58.3694267516
100633,-458.2,-58.3694267516
100700,-457.8,-58.3184713376
100768,-457.3,-58.2547770701
100835,-456.6,-58.1656050955
100902,-457.9,-58.3312101911
100969,-457.2,-58.2420382166
101036,-456.5,-58.152866242
101102,-455.8,-58.0636942675
101168,-455.1,-57.974522293
101234,-455.1,-57.974522293
101299,-453.9,-57.821656051
101363,-452.6,-57.6560509554
101427,-452,-57.5796178344
101490,-451.4,-57.5031847134
101554,-453.7,-57.7961783439
101618,-452.8,-57.6815286624
101681,-449.5,-57.2611464968
101743,-450.1,-57.3375796178
101806,-450.8,-57.4267515924
101868,-450,-57.3248407643
101930,-449.2,-57.2229299363
101991,-448.4,-57.1210191083
102052,-447.6,-57.0191082803
102114,-450.3,-57.3630573248
102177,-452.9,-57.6942675159
102241,-451.5,-57.5159235669
102304,-450.2,-57.3503184713
102366,-449.2,-57.2229299363
102427,-448.3,-57.1082802548
102489,-450.5,-57.3885350318
102553,-452.7,-57.6687898089
102618,-454.1,-57.847133758
102684,-455.5,-58.025477707
102749,-452.5,-57.6433121019
102812,-449.5,-57.2611464968
102876,-453.1,-57.7197452229
102942,-456.8,-58.1910828025
103008,-454,-57.8343949045
103073,-451.1,-57.4649681529
103137,-454.6,-57.9108280255
103205,-458.1,-58.3566878981
103273,-457.4,-58.2675159236
103341,-456.7,-58.178343949
103410,-459.6,-58.5477707006
103481,-462.5,-58.9171974522
103553,-462.1,-58.8662420382
103625,-461.8,-58.8280254777
103697,-461.8,-58.8280254777
103769,-462.3,-58.8917197452
103841,-462,-58.8535031847
103912,-461.1,-58.7388535032
103984,-460.7,-58.6878980892
104054,-460.2,-58.6242038217
104125,-459.9,-58.5859872611
104195,-459.5,-58.5350318471
104266,-460.5,-58.6624203822
104337,-461.6,-58.8025477707
104409,-461.4,-58.7770700637
104480,-461.1,-58.7388535032
104552,-461.1,-58.7388535032
104623,-461.1,-58.7388535032
104695,-460.6,-58.6751592357
104766,-460.1,-58.6114649682
104837,-460.1,-58.6114649682
104908,-462.2,-58.8789808917
104982,-464.2,-59.1337579618
105055,-463,-58.9808917197
105128,-461.9,-58.8407643312
105200,-460.7,-58.6878980892
105271,-459.6,-58.5477707006
105342,-460.2,-58.6242038217
105413,-460.7,-58.6878980892
105485,-462,-58.8535031847
105559,-463.2,-59.0063694268
105631,-460.9,-58.7133757962
105702,-458.5,-58.4076433121
105772,-458.5,-58.4076433121
105842,-458.5,-58.4076433121
105911,-457.9,-58.3312101911
105980,-457.2,-58.2420382166
106048,-454.2,-57.8598726115
106114,-451.2,-57.4777070064
106179,-455.2,-57.9872611465
106248,-459.1,-58.4840764331
106319,-460.5,-58.6624203822
106391,-461.9,-58.8407643312
106463,-460.6,-58.6751592357
106535,-459.3,-58.5095541401
106606,-461,-58.7261146497
106678,-462.7,-58.9426751592
106752,-464.1,-59.1210191083
106828,-465.5,-59.2993630573
106902,-463.5,-59.0445859873
106976,-461.5,-58.7898089172
107048,-461.5,-58.7898089172
107121,-461.5,-58.7898089172
107194,-464.4,-59.1592356688
107270,-467.3,-59.5286624204
107349,-470.7,-59.9617834395
107431,-474.1,-60.3949044586
107515,-474.1,-60.3949044586
107599,-474.1,-60.3949044586
107683,-474.1,-60.3949044586
107767,-475.3,-60.5477707006
107852,-476.4,-60.6878980892
107938,-476.7,-60.7261146497
108025,-477,-60.7643312102
108111,-477,-60.7643312102
108198,-476.3,-60.6751592357
108283,-475.6,-60.5859872611
108369,-475.6,-60.5859872611
108454,-475.2,-60.5350318471
108538,-474.8,-60.4840764331
108622,-474,-60.3821656051
108706,-473.1,-60.2675159236
108789,-473.1,-60.2675159236
108872,-473.1,-60.2675159236
108954,-473.1,-60.2675159236
109037,-473.1,-60.2675159236
109121,-474.7,-60.4713375796
109206,-476.4,-60.6878980892
109292,-476.4,-60.6878980892
109378,-474.2,-60.4076433121
109461,-472.1,-60.1401273885
109543,-472.1,-60.1401273885
109625,-472.1,-60.1401273885
109707,-472.8,-60.2292993631
109790,-473.4,-60.3057324841
109872,-470.9,-59.9872611465
109952,-468.4,-59.6687898089
110031,-468.8,-59.7197452229
110110,-469.1,-59.7579617834
110189,-469.1,-59.7579617834
110269,-469.1,-59.7579617834
110348,-469.1,-59.7579617834
110427,-469.1,-59.7579617834
110507,-469.1,-59.7579617834
110586,-469.1,-59.7579617834
110666,-469.1,-59.7579617834
110746,-471.7,-60.0891719745
110829,-474.2,-60.4076433121
110913,-473.2,-60.2802547771
110996,-472.2,-60.152866242
111078,-471,-60
111159,-469.8,-59.847133758
111239,-469.8,-59.847133758
111319,-469.8,-59.847133758
111399,-469.8,-59.847133758
111480,-469.8,-59.847133758
111560,-469.8,-59.847133758
111640,-469.8,-59.847133758
111721,-471.9,-60.1146496815
111805,-474,-60.3821656051
111889,-474,-60.3821656051
111973,-472.7,-60.2165605096
112055,-471.4,-60.050955414
112137,-471.4,-60.050955414
112219,-471.4,-60.050955414
112301,-471.4,-60.050955414
112383,-471.4,-60.050955414
112465,-471.4,-60.050955414
112547,-470.7,-59.9617834395
112628,-470,-59.872611465
112708,-469.8,-59.847133758
112790,-471,-60
112872,-472.2,-60.152866242
112954,-471.4,-60.050955414
113036,-470.6,-59.949044586
113116,-468.2,-59.6433121019
113195,-465.7,-59.3248407643
113272,-465.7,-59.3248407643
113348,-465,-59.2356687898
113425,-464.9,-59.2229299363
113501,-465.2,-59.2611464968
113578,-465.5,-59.2993630573
113656,-467.5,-59.5541401274
113736,-469.6,-59.821656051
113815,-466.5,-59.4267515924
113891,-463.3,-59.0191082803
113966,-463.3,-59.0191082803
114041,-462.6,-58.9299363057
114115,-461.9,-58.8407643312
114189,-462.1,-58.8662420382
114264,-462.3,-58.8917197452
114338,-461.8,-58.8280254777
114411,-461.4,-58.7770700637
114486,-463.5,-59.0445859873
114562,-465.7,-59.3248407643
114639,-464.7,-59.1974522293
114715,-463.6,-59.0573248408
114790,-462,-58.8535031847
114863,-460.4,-58.6496815287
114935,-458.5,-58.4076433121
115006,-456.7,-58.178343949
115077,-459.4,-58.5222929936
115150,-462,-58.8535031847
115222,-456.5,-58.152866242
115289,-450.9,-57.4394904459
115355,-450.9,-57.4394904459
115420,-450.9,-57.4394904459
115486,-450.9,-57.4394904459
115551,-450.9,-57.4394904459
115617,-450.9,-57.4394904459
115683,-451.5,-57.5159235669
115749,-452,-57.5796178344
115816,-454.8,-57.9363057325
115886,-457.6,-58.2929936306
115956,-456.2,-58.1146496815
116025,-454.7,-57.923566879
116093,-454,-57.8343949045
116161,-453.4,-57.7579617834
116228,-453.5,-57.7707006369
116296,-453.2,-57.7324840764
116363,-452.8,-57.6815286624
116430,-452.5,-57.6433121019
116497,-452.3,-57.6178343949
116563,-452.3,-57.6178343949
116630,-452.3,-57.6178343949
116697,-451.5,-57.5159235669
116762,-450.8,-57.4267515924
116827,-449,-57.1974522293
116891,-447.3,-56.9808917197
116954,-446.1,-56.8280254777
117016,-445,-56.6878980892
117077,-445,-56.6878980892
117139,-446.2,-56.8407643312
117202,-447.4,-56.9936305732
117264,-446,-56.8152866242
117326,-444.6,-56.6369426752
117388,-446.5,-56.8789808917
117451,-448.5,-57.1337579618
117514,-445.5,-56.7515923567
117575,-442.4,-56.3566878981
117635,-444.1,-56.5732484076
117697,-445.8,-56.7898089172
117759,-446.6,-56.8917197452
117822,-447.7,-57.0318471338
117886,-447.9,-57.0573248408
117949,-447.3,-56.9808917197
118012,-446.6,-56.8917197452
118074,-444.5,-56.6242038217
118135,-442.3,-56.3439490446
118194,-442.3,-56.3439490446
118254,-442.3,-56.3439490446
118314,-443.9,-56.5477707006
118376,-445.5,-56.7515923567
118438,-445.5,-56.7515923567
118499,-443.5,-56.4968152866
118559,-441.6,-56.2547770701
118618,-440.2,-56.076433121
118676,-438.7,-55.8853503185
118735,-443.1,-56.4458598726
118796,-447.5,-57.0063694268
118859,-445.7,-56.7770700637
118921,-443.9,-56.5477707006
118981,-443.9,-56.5477707006
119042,-442,-56.3057324841
119101,-440,-56.050955414
119160,-442.7,-56.3949044586
119221,-445.4,-56.7388535032
119283,-445.4,-56.7388535032
119345,-445,-56.6878980892
119406,-444.7,-56.6496815287
119467,-443.5,-56.4968152866
119528,-443.6,-56.5095541401
119589,-445,-56.6878980892
119650,-443.1,-56.4458598726
119710,-441.2,-56.2038216561
119770,-443.6,-56.5095541401
119831,-446,-56.8152866242
119894,-446,-56.8152866242
119955,-444.2,-56.5859872611
120016,-442.4,-56.3566878981
120076,-443.7,-56.5222929936
120138,-445,-56.6878980892
120199,-443.8,-56.5350318471
120259,-442.5,-56.3694267516
120319,-442.5,-56.3694267516
120379,-442.5,-56.3694267516
120439,-441.1,-56.1910828025
120498,-439.8,-56.025477707
120555,-438.2,-55.821656051
120612,-436.6,-55.6178343949
